"gene_symbol","entrez_id","hpo_id","hpo_name","source","ensembl_id"
"NPHP4","261734","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000131697"
"CTNS","1497","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000040531"
"NEK8","284086","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000160602"
"AQP2","359","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000167580"
"LZTFL1","54585","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000163818"
"CISD2","493856","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000145354"
"WFS1","7466","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000109501"
"TRANK1","9881","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000168016"
"HNF1B","6928","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000275410"
"AVPR2","554","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000126895"
"KCNJ10","3766","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000177807"
"CDC73","79577","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000134371"
"NPHP1","4867","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000144061"
"DCDC2","51473","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000146038"
"TMEM67","91147","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000164953"
"CLDN16","10686","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000113946"
"IRF4","3662","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000137265"
"DZIP1L","199221","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000158163"
"PKHD1","5314","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000170927"
"CLDN10","9071","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000134873"
"KL","9365","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000133116"
"NLRP3","114548","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000162711"
"AVP","551","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000101200"
"KCNJ5","3762","HP:0030082","Abnormal drinking behavior","HPO phenotype_to_genes (inferred)","ENSG00000120457"
