"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003014","GO:0003014","renal system process","7/20","143/18860",0.048951048951049,46.1608391608392,17.6622399526203,8.87061742152307e-11,8.55127519434824e-08,4.51934613896544e-08,"6927/7466/5972/6559/7369/10686/359",7
"GO:0001822","GO:0001822","kidney development","7/20","323/18860",0.021671826625387,20.4365325077399,11.4797968861868,2.59284875703348e-08,1.04849122272737e-05,5.54127267744102e-06,"7466/6928/5972/5314/7369/359/2253",7
"GO:0072001","GO:0072001","renal system development","7/20","334/18860",0.0209580838323353,19.7634730538922,11.2727405180845,3.26293948981547e-08,1.04849122272737e-05,5.54127267744102e-06,"7466/6928/5972/5314/7369/359/2253",7
"GO:0007369","GO:0007369","gastrulation","6/20","203/18860",0.0295566502463054,27.871921182266,12.5417953251029,4.93654258127068e-08,1.18970676208623e-05,6.28759634035529e-06,"3170/6928/5015/2253/6657/5460",6
"GO:0070293","GO:0070293","renal absorption","4/20","47/18860",0.0851063829787234,80.2553191489362,17.7248349261221,1.59257782468833e-07,3.0704900459991e-05,1.6227529834719e-05,"6927/6559/7369/10686",4
"GO:0001711","GO:0001711","endodermal cell fate commitment","3/20","15/18860",0.2,188.6,23.6817761429708,4.60242420469892e-07,7.3945615555496e-05,3.90802335977943e-05,"6928/6657/5460",3
"GO:0046879","GO:0046879","hormone secretion","6/20","331/18860",0.0181268882175227,17.0936555891239,9.62446479155208,8.79651892225143e-07,0.000104358177061227,5.5153262390952e-05,"3170/6927/3630/6833/6928/5972",6
"GO:0055064","GO:0055064","chloride ion homeostasis","3/20","19/18860",0.157894736842105,148.894736842105,21.0141304302468,9.77516493731251e-07,0.000104358177061227,5.5153262390952e-05,"6559/6557/7369",3
"GO:0042886","GO:0042886","amide transport","6/20","338/18860",0.0177514792899408,16.7396449704142,9.51356349520176,9.93799314987046e-07,0.000104358177061227,5.5153262390952e-05,"3170/6927/3630/6833/6928/7369",6
"GO:0009914","GO:0009914","hormone transport","6/20","343/18860",0.0174927113702624,16.4956268221574,9.43636594080652,1.08255370395464e-06,0.000104358177061227,5.5153262390952e-05,"3170/6927/3630/6833/6928/5972",6
"GO:0055081","GO:0055081","monoatomic anion homeostasis","3/20","21/18860",0.142857142857143,134.714285714286,19.9752586682762,1.33987565828225e-06,0.000117421830416736,6.20573989099149e-05,"6559/6557/7369",3
"GO:0031016","GO:0031016","pancreas development","4/20","82/18860",0.0487804878048781,46,13.3054219419226,1.52497984262883e-06,0.000122506714024516,6.4744758230908e-05,"3170/6927/7466/6928",4
"GO:0007492","GO:0007492","endoderm development","4/20","90/18860",0.0444444444444444,41.9111111111111,12.6754758452689,2.21574764149288e-06,0.00016430620972301,8.68357780147817e-05,"6928/2253/6657/5460",4
"GO:0001656","GO:0001656","metanephros development","4/20","92/18860",0.0434782608695652,41,12.5307996556814,2.41967462826901e-06,0.000166611881546524,8.80543248182107e-05,"6928/7369/359/2253",4
"GO:0003091","GO:0003091","renal water homeostasis","3/20","26/18860",0.115384615384615,108.807692307692,17.9225177673386,2.61046315439231e-06,0.000167765765388946,8.86641520509388e-05,"7466/7369/359",3
"GO:0001708","GO:0001708","cell fate specification","4/20","112/18860",0.0357142857142857,33.6785714285714,11.301301998585,5.30576767447366e-06,0.000306441338406767,0.000161954146963174,"3170/6928/6657/5460",4
"GO:0050891","GO:0050891","multicellular organismal-level water homeostasis","3/20","34/18860",0.0882352941176471,83.2058823529412,15.6313758406935,5.97566209580948e-06,0.000306441338406767,0.000161954146963174,"7466/7369/359",3
