"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","p_adj","term_name","effective_domain_size","source_order","parents"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:2001239","GO:BP",0.869920511106159,"regulation of extrinsic apoptotic signaling pathway in absence of ligand",42,25974,"GO:0097192,GO:2001236"
"hubs",FALSE,0.869920511106159,5,20,3,0.15,0.6,"GO:0034329","GO:BP",0.869920511106159,"cell junction assembly",42,8508,"GO:0022607,GO:0034330"
"hubs",FALSE,0.869920511106159,7,20,4,0.2,0.571428571428571,"GO:0034330","GO:BP",0.869920511106159,"cell junction organization",42,8509,"GO:0016043"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0034505","GO:BP",0.869920511106159,"tooth mineralization",42,8607,"GO:0031214,GO:0042476"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061295","GO:BP",0.869920511106159,"regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis",42,15167,"GO:0061235,GO:0072039,GO:1901146"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061235","GO:BP",0.869920511106159,"mesenchymal stem cell maintenance involved in mesonephric nephron morphogenesis",42,15112,"GO:0061228,GO:0072038"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061228","GO:BP",0.869920511106159,"mesonephric nephron morphogenesis",42,15105,"GO:0061206,GO:0061215,GO:0072028"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061218","GO:BP",0.869920511106159,"negative regulation of mesonephros development",42,15095,"GO:0001823,GO:0061217,GO:0090185"
"hubs",FALSE,0.869920511106159,3,20,2,0.1,0.666666666666667,"GO:0034765","GO:BP",0.869920511106159,"regulation of monoatomic ion transmembrane transport",42,8669,"GO:0034220,GO:0034762,GO:0043269"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061217","GO:BP",0.869920511106159,"regulation of mesonephros development",42,15094,"GO:0001823,GO:0090183"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061215","GO:BP",0.869920511106159,"mesonephric nephron development",42,15093,"GO:0001823,GO:0072006"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035050","GO:BP",0.869920511106159,"embryonic heart tube development",42,8719,"GO:0007507,GO:0035295,GO:0048568,GO:0060429"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0035082","GO:BP",0.869920511106159,"axoneme assembly",42,8736,"GO:0001578,GO:0022607,GO:0060271"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061206","GO:BP",0.869920511106159,"mesonephros morphogenesis",42,15084,"GO:0001823,GO:0060993"
"hubs",FALSE,0.869920511106159,4,20,4,0.2,1,"GO:0061138","GO:BP",0.869920511106159,"morphogenesis of a branching epithelium",42,15029,"GO:0001763,GO:0002009"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061017","GO:BP",0.869920511106159,"hepatoblast differentiation",42,14924,"GO:0001889,GO:0030855,GO:0048863"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0035148","GO:BP",0.869920511106159,"tube formation",42,8780,"GO:0035239,GO:0048646"
"hubs",FALSE,0.869920511106159,7,20,6,0.3,0.857142857142857,"GO:0035239","GO:BP",0.869920511106159,"tube morphogenesis",42,8855,"GO:0009653,GO:0035295"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061296","GO:BP",0.869920511106159,"negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis",42,15168,"GO:0061218,GO:0061235,GO:0061295,GO:0072040,GO:1901146"
"hubs",FALSE,0.869920511106159,2,20,2,0.1,1,"GO:0035264","GO:BP",0.869920511106159,"multicellular organism growth",42,8863,"GO:0032501,GO:0048589"
"hubs",FALSE,0.869920511106159,1,20,1,0.05,1,"GO:0061326","GO:BP",0.869920511106159,"renal tubule development",42,15192,"GO:0035295,GO:0060429,GO:0072001"
"hubs",FALSE,0.869920511106159,8,20,6,0.3,0.75,"GO:0034220","GO:BP",0.869920511106159,"monoatomic ion transmembrane transport",42,8445,"GO:0006811,GO:0055085"
