"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents","p_adj"
"set",TRUE,0.00759009231409744,6,9,6,0.666666666666667,1,"GO:0007017","GO:BP","microtubule-based process",42,2612,"GO:0009987",0.00759009231409744
"set",TRUE,0.0140416707810803,5,9,5,0.555555555555556,1,"GO:0044782","GO:BP","cilium organization",42,11008,"GO:0006996,GO:0120036",0.0140416707810803
"set",TRUE,0.0140416707810803,5,9,5,0.555555555555556,1,"GO:0120031","GO:BP","plasma membrane bounded cell projection assembly",42,19205,"GO:0030031,GO:0120036",0.0140416707810803
"set",TRUE,0.0140416707810803,10,9,7,0.777777777777778,0.7,"GO:0006996","GO:BP","organelle organization",42,2598,"GO:0016043",0.0140416707810803
"set",TRUE,0.0140416707810803,5,9,5,0.555555555555556,1,"GO:0060271","GO:BP","cilium assembly",42,14280,"GO:0044782,GO:0070925,GO:0120031",0.0140416707810803
"set",TRUE,0.0479124577327401,6,9,5,0.555555555555556,0.833333333333333,"GO:0070925","GO:BP","organelle assembly",42,16146,"GO:0006996,GO:0022607",0.0479124577327401
"set",TRUE,0.0479124577327401,6,9,5,0.555555555555556,0.833333333333333,"GO:0030031","GO:BP","cell projection assembly",42,6622,"GO:0022607,GO:0030030",0.0479124577327401
"set",TRUE,0.0479124577327401,6,9,5,0.555555555555556,0.833333333333333,"GO:0007010","GO:BP","cytoskeleton organization",42,2609,"GO:0006996",0.0479124577327401
"set",TRUE,0.0485075899710046,4,9,4,0.444444444444444,1,"GO:0007018","GO:BP","microtubule-based movement",42,2613,"GO:0007017",0.0485075899710046
"set",TRUE,0.0485075899710046,4,9,4,0.444444444444444,1,"GO:0033365","GO:BP","protein localization to organelle",42,8115,"GO:0008104",0.0485075899710046
"set",TRUE,0.0485075899710046,4,9,4,0.444444444444444,1,"GO:0003341","GO:BP","cilium movement",42,1759,"GO:0007018",0.0485075899710046
"set",FALSE,0.0600807895529636,13,9,7,0.777777777777778,0.538461538461538,"GO:0044085","GO:BP","cellular component biogenesis",42,10811,"GO:0071840",0.0600807895529636
"set",FALSE,0.0600807895529636,13,9,7,0.777777777777778,0.538461538461538,"GO:0022607","GO:BP","cellular component assembly",42,6582,"GO:0016043,GO:0044085",0.0600807895529636
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0007276","GO:BP","gamete generation",42,2789,"GO:0019953,GO:0048609",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0032886","GO:BP","regulation of microtubule-based process",42,7825,"GO:0007017,GO:0050794",0.123867595818815
"set",FALSE,0.123867595818815,11,9,6,0.666666666666667,0.545454545454545,"GO:0051641","GO:BP","cellular localization",42,13664,"GO:0009987,GO:0051179",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0048232","GO:BP","male gamete generation",42,12428,"GO:0007276",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0007283","GO:BP","spermatogenesis",42,2795,"GO:0003006,GO:0048232",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0045494","GO:BP","photoreceptor cell maintenance",42,11251,"GO:0001895,GO:0032501",0.123867595818815
"set",FALSE,0.123867595818815,11,9,6,0.666666666666667,0.545454545454545,"GO:0030030","GO:BP","cell projection organization",42,6621,"GO:0016043",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0061512","GO:BP","protein localization to cilium",42,15298,"GO:0033365",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0000226","GO:BP","microtubule cytoskeleton organization",42,61,"GO:0007010,GO:0007017",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0097722","GO:BP","sperm motility",42,18498,"GO:0022414,GO:0048870",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0001895","GO:BP","retina homeostasis",42,518,"GO:0001894",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0060294","GO:BP","cilium movement involved in cell motility",42,14300,"GO:0003341,GO:0060285",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0060285","GO:BP","cilium-dependent cell motility",42,14293,"GO:0001539",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0030317","GO:BP","flagellated sperm motility",42,6731,"GO:0060285,GO:0060294,GO:0097722",0.123867595818815
"set",FALSE,0.123867595818815,3,9,3,0.333333333333333,1,"GO:0001539","GO:BP","cilium or flagellum-dependent cell motility",42,329,"GO:0048870",0.123867595818815
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0009855","GO:BP","determination of bilateral symmetry",42,3712,"GO:0009799",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0009799","GO:BP","specification of symmetry",42,3668,"GO:0007389",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:1903348","GO:BP","positive regulation of bicellular tight junction assembly",42,22602,"GO:0070830,GO:1901890,GO:2000810",0.309668989547039
"set",FALSE,0.309668989547039,4,9,3,0.333333333333333,0.75,"GO:0048609","GO:BP","multicellular organismal reproductive process",42,12703,"GO:0022414",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007098","GO:BP","centrosome cycle",42,2668,"GO:0022402,GO:0031023",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007163","GO:BP","establishment or maintenance of cell polarity",42,2714,"GO:0009987",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007164","GO:BP","establishment of tissue polarity",42,2715,"GO:0009653",0.309668989547039
"set",FALSE,0.309668989547039,10,9,5,0.555555555555556,0.5,"GO:0070727","GO:BP","cellular macromolecule localization",42,16048,"GO:0033036,GO:0051641",0.309668989547039
"set",FALSE,0.309668989547039,10,9,5,0.555555555555556,0.5,"GO:0008104","GO:BP","protein localization",42,3109,"GO:0070727",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0009416","GO:BP","response to light stimulus",42,3466,"GO:0009314",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0009314","GO:BP","response to radiation",42,3446,"GO:0009628",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:1901890","GO:BP","positive regulation of cell junction assembly",42,21549,"GO:0034329,GO:0044089,GO:0051130,GO:1901888",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:2000810","GO:BP","regulation of bicellular tight junction assembly",42,25616,"GO:0070830,GO:1901888",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0072657","GO:BP","protein localization to membrane",42,17244,"GO:0008104,GO:0051668",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007368","GO:BP","determination of left/right symmetry",42,2856,"GO:0009855,GO:0060972",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0046605","GO:BP","regulation of centrosome cycle",42,12090,"GO:0007098,GO:0010564,GO:0032886,GO:0051128",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0044089","GO:BP","positive regulation of cellular component biogenesis",42,10814,"GO:0044085,GO:0044087,GO:0048522",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0035567","GO:BP","non-canonical Wnt signaling pathway",42,9028,"GO:0016055",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0007632","GO:BP","visual behavior",42,3074,"GO:0007610,GO:0009416",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0048515","GO:BP","spermatid differentiation",42,12633,"GO:0003006,GO:0007283,GO:0022412,GO:0030154",0.309668989547039
"set",FALSE,0.309668989547039,2,9,2,0.222222222222222,1,"GO:0010824","GO:BP","regulation of centrosome duplication",42,4417,"GO:0046605,GO:0051298",0.309668989547039
"set",FALSE,0.309668989547039,10,9,5,0.555555555555556,0.5,"GO:0033036","GO:BP","macromolecule localization",42,7939,"GO:0051179",0.309668989547039
