"gene","degree","strength","betweenness","betweenness_w","closeness","closeness_w","closeness_harmonic","clustering_coef","module","is_chembl_target"
"PKHD1",3,2.341,0.0292682926829268,0.0292682926829268,0.689871433051113,0.444602368033556,0.133521604611337,0.333333333333333,2,FALSE
"HNF1B",3,2.522,0.0219512195121951,0.0219512195121951,0.522391603742223,0.34609193626587,0.11934604229144,0.333333333333333,6,FALSE
"NPHP1",6,5.158,0.0207317073170732,0.0158536585365854,0.730654267685154,0.503046359318691,0.169303054186706,0.466666666666667,2,FALSE
"AQP2",4,3.4,0.0195121951219512,0.0195121951219512,0.667334000667334,0.460156539811513,0.136717673733459,0.333333333333333,1,TRUE
"SLC12A3",5,4.507,0.0195121951219512,0.0268292682926829,0.722700007227,0.550501423491552,0.159533750166112,0.4,3,TRUE
"NPHP3",6,5.336,0.0158536585365854,0.0195121951219512,0.723684210526316,0.512304040584209,0.173969664507748,0.466666666666667,2,FALSE
"HESX1",3,2.205,0.0158536585365854,0.0146341463414634,0.621945801865837,0.398515023250003,0.084764221660263,0,4,FALSE
"KCNJ1",5,4.451,0.0146341463414634,0.0170731707317073,0.708666997377932,0.546287674746021,0.15801593151519,0.5,3,TRUE
"PROKR2",2,1.525,0.0146341463414634,0.0146341463414634,0.621945801865837,0.398515023250003,0.0795252420237958,0,4,TRUE
"FGFR1",2,1.816,0.0121951219512195,0.0121951219512195,0.543098766389945,0.349769322993063,0.0822198466521058,0,4,TRUE
"CLDN16",2,1.714,0.0109756097560976,0.0109756097560976,0.496598301633808,0.385459911349553,0.112604339323649,0,3,FALSE
"CASR",3,2.441,0.0109756097560976,0.0109756097560976,0.539607165983164,0.39284033940268,0.118248667047962,0.333333333333333,3,TRUE
"BBS9",4,3.5,0.00975609756097561,0.00365853658536585,0.596885343751696,0.380554756279435,0.140036910899205,0.5,2,FALSE
"CLCNKB",4,3.61,0.00975609756097561,0,0.600312162324409,0.459142722653287,0.140799463639608,0.666666666666667,3,FALSE
"KL",2,1.91,0.00731707317073171,0.00731707317073171,0.414569144210838,0.291457858476857,0.078053119511777,0,4,FALSE
"SOX3",2,1.566,0.00609756097560976,0,0.488315312173003,0.310813473469841,0.0727501632173855,0,4,FALSE
"KCNJ5",3,2.352,0.00365853658536585,0.00365853658536585,0.98255956767379,0.658931765000639,0.0682854751845803,0.333333333333333,5,TRUE
"BBS2",4,3.511,0.0024390243902439,0.00853658536585366,0.579130251658418,0.390552004620921,0.142431132169236,0.5,2,FALSE
"CYP11B1",3,2.631,0.0024390243902439,0,0.960384153661465,0.656434978758721,0.0735002066969822,0.666666666666667,5,TRUE
"TMEM67",5,4.378,0.0024390243902439,0.00365853658536585,0.594562456083455,0.429426914647034,0.156260532669911,0.6,2,FALSE
"AVP",2,1.914,0,0,0.447988531493594,0.328325542515537,0.10491656432348,1,1,TRUE
"BSND",3,2.831,0,0,0.543389664728577,0.420757666284462,0.129611983854439,1,3,FALSE
"NEK8",3,2.479,0,0,0.555303145035085,0.370687251332336,0.12591423735747,1,2,TRUE
"CYP11B2",3,2.719,0,0.0024390243902439,0.921022334791619,0.690453224676539,0.0762189715246906,0.666666666666667,5,TRUE
"NPHP4",4,3.733,0,0,0.522391603742223,0.397831336225561,0.147048293965285,0.833333333333333,2,FALSE
"HNF1A",2,1.852,0,0,0.368040685224839,0.269207963527861,0.100036994505028,1,6,TRUE
"CISD2",1,0.946,0,0,1.05708245243129,0.946,0.0230731707317073,0,7,TRUE
"OTX2",2,1.71,0,0.00121951219512195,0.394766523798782,0.258114027369452,0.0700221925908462,0,4,FALSE
"INSR",1,0.911,0,0,0.313185092389602,0.228733029591001,0.0577515960308669,0,4,TRUE
"IL6",1,0.86,0,0,1.16279069767442,0.86,0.0209756097560976,0,8,TRUE
"CLDN10",1,0.814,0,0,0.364126278993555,0.270273585642367,0.0785875912117775,0,3,FALSE
"CACNA1D",1,0.806,0,0,0.61642780089382,0.408475221549991,0.0459100770196945,0,5,TRUE
"HPSE2",1,0.718,0,0,1.39275766016713,0.718,0.0175121951219512,0,9,FALSE
"AVPR2",2,1.981,0,0,0.436205016357688,0.335722791317386,0.10795852824094,1,1,TRUE
"HSD11B2",2,1.98,0,0,0.6426735218509,0.517589547263327,0.0662324715435776,1,5,TRUE
"LZTFL1",2,1.97,0,0,0.417029988247337,0.302864116014037,0.113823249596238,1,2,FALSE
"WFS1",1,0.946,0,0,1.05708245243129,0.946,0.0230731707317073,0,7,TRUE
"SOX2",2,1.641,0,0.00609756097560976,0.491642084562439,0.307781201832463,0.0740863606076899,0,4,FALSE
"PAX4",2,1.6,0,0,0.401929260450161,0.24686288262202,0.0888763058837123,1,6,FALSE
"NLRP3",1,0.86,0,0,1.16279069767442,0.86,0.0209756097560976,0,8,TRUE
"CDC73",1,0.855,0,0,0.381286460517787,0.277917122000186,0.0821853204888355,0,3,TRUE
"LRIG2",1,0.718,0,0,1.39275766016713,0.718,0.0175121951219512,0,9,FALSE
