"gene","module"
"INVS",1
"IQCB1",1
"NPHP1",1
"NPHP3",1
"NPHP4",1
"RPGRIP1",1
"TMEM67",1
"CEP290",1
"RPGRIP1L",1
"SHPK",2
"HS1BP3",2
"TNNI3",3
"FGGY",2
"SLC66A1",2
"CTNS",2
"PKD2",1
"PKD1",1
"SRI",1
"PIK3C2A",1
"NEK8",1
"ANKS6",1
"ANKS3",1
"AQP2",4
"PRKACA",5
"CLCNKA",4
"PRKACB",5
"AVP",6
"UMOD",4
"SLC12A1",4
"BBS9",7
"BBS2",7
"BBS7",7
"BBS4",7
"BBS5",7
"LZTFL1",7
"FYCO1",7
"BBS1",7
"BBIP1",7
"WFS1",8
"CANX",9
"TIMM10B",10
"TIMM10",10
"CISD2",9
"GIMAP5",9
"BECN1",9
"XBP1",8
"ATF6",8
"CACNA1C",9
"GCK",11
"NEUROD1",11
"PCBD1",11
"ONECUT1",11
"HNF4A",11
"PKHD1",1
"PTF1A",11
"PDX1",11
"HNF1A",11
"AVPR1A",6
"GNG2",6
"AVPR1B",6
"ARHGAP4",6
"GNAS",6
"GNB1",6
"ARRB2",6
"ARRB1",6
"SLC1A2",8
"HEPACAM",8
"FOXI1",8
"KCNJ4",8
"CAV1",8
"DMD",8
"GJB2",8
"DAG1",8
"KCNJ16",8
"SLC26A4",8
"SUPT16H",12
"PAF1",12
"SUPT4H1",12
"LEO1",12
"SUPT6H",12
"CTR9",12
"CDC73",12
"RTF1",12
"WDR61",12
"POLR2A",12
"AHI1",1
"MKS1",1
"CC2D2A",1
"ACOT13",13
"KAAG1",13
"GCFC2",13
"DNAAF4",13
"TDP2",13
"KIAA0319",13
"DCDC2",13
"B9D2",1
"TMEM231",1
"B9D1",1
"TCTN2",1
"TMEM216",1
"TCTN1",1
"CLDN16",14
"CLDN17",14
"FXYD2",14
"CLDN1",14
"CLDN19",14
"OCLN",14
"TJP1",14
"CLDN3",14
"CLDN5",14
"SPI1",15
"STAT3",15
"BATF",15
"STAT6",15
"PAX5",15
"PRDM1",15
"IRF4",15
"TRAF6",15
"DZIP1L",16
"GANAB",17
"FAM92A",16
"TRAM2",1
"CAMLG",1
"IFT88",1
"CLDN11",14
"CLDN12",14
"CLDN10",14
"CLDN18",14
"CLDN8",14
"CLDN9",14
"CLDN23",14
"FGF4",18
"FGF20",18
"FGF22",18
"FGF6",18
"FGF23",18
"FGF10",18
"FGF18",18
"FGFR4",18
"FGF8",18
"KL",18
"DHX33",19
"PYCARD",19
"NLRP6",19
"NLRP3",19
"NEK7",19
"AIM2",19
"NLRC4",19
"CASP1",19
"ADH1A",6
"OXT",6
"ADH1B",6
"ADH6",6
"ADH7",6
"GABBR2",5
"KCNJ3",5
"GNAI2",5
"KCNJ9",5
"GABBR1",5
"PRKACG",5
"KCNJ5",5
"KCNJ6",5
"ISL1",11
"NEUROG3",11
"KLF11",11
"SLC2A2",11
"NKX2-2",11
"PAX4",11
"INS",11
"GCG",11
"GRB14",11
"INSR",11
"IRS1",11
"PTPN1",11
"IRS2",11
"IGF1",11
"IGF2",11
"SHC1",11
"CYP11B1",20
"HSD11B2",20
"HSD11B1",20
"HSD3B1",20
"CYP17A1",20
"HSD17B3",20
"AKR1C3",20
"CYP19A1",20
"HSD3B2",20
"SRD5A2",20
"SRD5A1",20
"CYP11B2",20
"AKR1D1",20
"NR3C2",20
"HSD11B1L",20
"CLCN1",4
"CLCNKB",4
"CLCN5",4
"KCNJ1",4
"SLC12A3",4
"CASR",5
"TNFRSF1A",21
"IL2",21
"IL1B",21
"IL3",21
"IL6R",21
"IL6ST",21
"JAK2",21
"IL6",21
"IL1R1",21
"IL10",21
"CSK",22
"C1QBP",22
"ZAP70",22
"HLA-DQA1",22
"PTPN22",22
"HLA-DRB1",22
"CD8A",22
"LCK",22
"ANK1",9
"CALM3",9
"HSPA9",9
"CALML3",9
"ANK2",9
"ITPR3",9
"VDAC1",9
"FOXA3",11
"FOXA2",23
"PCBD2",11
"CACNG1",9
"CACNG4",9
"CACNA1D",9
"CACNB3",9
"CALML6",9
"CACNB2",9
"CACNA2D1",9
"TRPM6",24
"MAGT1",24
"PM20D1",24
"SLC41A1",24
"RAB29",24
"NUCKS1",24
"BBS12",7
"TTC8",7
"CFTR",4
"WNK4",4
"WNK1",4
"WNK3",4
"SGK1",4
"LRIG1",25
"ZNF621",25
"LRIG2",25
"VWF",26
"GPC1",25
"SDC2",25
"IDS",25
"HPSE2",25
"HSPG2",25
"SDC1",25
"OXSR1",4
"STK39",4
"NEK9",1
"PLCG1",18
"KLB",18
"FGF2",18
"FGF7",18
"PROKR2",18
"ANOS1",18
"PROK1",18
"GNRH1",18
"PROK2",18
"KISS1",18
"NSMF",18
"CHD7",18
"SALL4",23
"NANOG",23
"POU5F1",23
"PRDM14",23
"SOX2",23
"POU2F1",23
"HDAC1",23
"LIN28A",23
"KLF4",23
"LHX4",23
"NEUROG2",23
"ATP11C",23
"POU1F1",23
"SOX3",23
"AHR",27
"EPAS1",27
"SIM2",27
"ARNT2",27
"NPAS4",27
"AHRR",27
"ARNT",27
"HIF3A",27
"NCOR1",23
"PRL",23
"TRH",23
"GHRHR",23
"TLE1",23
"RCVRN",23
"SIX3",23
"SIX6",23
"SOX1",23
"PAX2",18
"REN",11
"KLF15",4
"GNA11",5
"PLCB2",5
"GNAQ",5
"GPRC6A",5
"PLCB1",5
"GCM2",5
"PLCB3",5
"SLC6A2",11
"SI",11
