gene,chembl_id,pref_name
NPHP4,,
CTNS,CHEMBL4630803,Cystinosin
NEK8,CHEMBL2417353,Serine/threonine-protein kinase Nek8
AQP2,CHEMBL4523224,Aquaporin-2
LZTFL1,,
CISD2,CHEMBL4523399,CDGSH iron-sulfur domain-containing protein 2
WFS1,CHEMBL6066374,Wolframin
TRANK1,,
HNF1B,,
AVPR2,CHEMBL1790,Vasopressin V2 receptor
KCNJ10,CHEMBL2146348,ATP-sensitive inward rectifier potassium channel 10
CDC73,CHEMBL5724787,Parafibromin
NPHP1,,
DCDC2,,
TMEM67,,
CLDN16,,
IRF4,,
DZIP1L,,
PKHD1,,
CLDN10,,
KL,,
NLRP3,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3"
AVP,CHEMBL1741208,"NACHT, LRR and PYD domains-containing protein 3"
KCNJ5,CHEMBL1914278,G protein-activated inward rectifier potassium channel 4
PAX4,,
INSR,CHEMBL1981,Insulin receptor
CYP11B1,CHEMBL1908,"Cytochrome P450 11B1, mitochondrial"
CYP11B2,CHEMBL2722,"Cytochrome P450 11B2, mitochondrial"
HSD11B2,CHEMBL3746,11-beta-hydroxysteroid dehydrogenase type 2
BSND,,
IL6,CHEMBL1795129,Interleukin-6
PTPN22,CHEMBL2889,Tyrosine-protein phosphatase non-receptor type 22
ITPR3,CHEMBL3904,"Inositol 1,4,5-trisphosphate-gated calcium channel ITPR3"
HNF1A,CHEMBL6066477,Hepatocyte nuclear factor 1-alpha
CACNA1D,CHEMBL4138,Voltage-dependent L-type calcium channel subunit alpha-1D
SLC41A1,,
BBS2,,
KCNJ1,CHEMBL1293292,ATP-sensitive inward rectifier potassium channel 1
LRIG2,,
HPSE2,,
SLC12A3,CHEMBL1876,Solute carrier family 12 member 3
BBS9,,
NPHP3,,
FGFR1,CHEMBL5291677,Protein cereblon/FGFR1
PROKR2,CHEMBL5548,Prokineticin receptor 2
SOX2,,
SOX3,,
ARNT2,,
HESX1,,
OTX2,,
CLCNKB,,
CASR,CHEMBL1878,Extracellular calcium-sensing receptor
SLC5A2,CHEMBL3884,Sodium/glucose cotransporter 2
NKX2-1,CHEMBL3157,B2 bradykinin receptor
