gene1,gene2,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
FGFR1,KL,0.999,,,,,,,
AVP,AVPR2,0.999,,,,,,,
BBS2,BBS9,0.999,,,,,,,
BSND,CLCNKB,0.999,,,,,,,
NPHP1,NPHP4,0.999,,,,,,,
NPHP1,TMEM67,0.994,,,,,,,
NEK8,NPHP3,0.991,,,,,,,
CYP11B1,HSD11B2,0.991,,,,,,,
CYP11B2,HSD11B2,0.989,,,,,,,
NPHP1,NPHP3,0.987,,,,,,,
BBS9,LZTFL1,0.986,,,,,,,
BBS2,LZTFL1,0.984,,,,,,,
NPHP3,NPHP4,0.983,,,,,,,
AQP2,AVPR2,0.982,,,,,,,
NPHP4,TMEM67,0.969,,,,,,,
CLCNKB,SLC12A3,0.967,,,,,,,
KCNJ1,SLC12A3,0.965,,,,,,,
HNF1A,HNF1B,0.961,,,,,,,
CISD2,WFS1,0.946,,,,,,,
CLCNKB,KCNJ1,0.942,,,,,,,
BSND,KCNJ1,0.92,,,,,,,
AQP2,AVP,0.915,,,,,,,
OTX2,SOX2,0.914,,,,,,,
CYP11B1,CYP11B2,0.912,,,,,,,
BSND,SLC12A3,0.912,,,,,,,
INSR,KL,0.911,,,,,,,
CLDN16,SLC12A3,0.9,,,,,,,
HNF1A,PAX4,0.891,,,,,,,
CASR,KCNJ1,0.884,,,,,,,
NPHP3,TMEM67,0.865,,,,,,,
IL6,NLRP3,0.86,,,,,,,
CASR,CDC73,0.855,,,,,,,
HNF1B,PKHD1,0.852,,,,,,,
CYP11B2,KCNJ5,0.818,,,,,,,
FGFR1,PROKR2,0.817,,,,,,,
CLDN10,CLDN16,0.814,,,,,,,
CACNA1D,KCNJ5,0.806,,,,,,,
OTX2,SOX3,0.796,,,,,,,
BBS9,TMEM67,0.785,,,,,,,
NEK8,NPHP4,0.782,,,,,,,
HESX1,SOX3,0.77,,,,,,,
BBS2,TMEM67,0.765,,,,,,,
BBS2,NPHP3,0.763,,,,,,,
AQP2,SLC12A3,0.763,,,,,,,
NPHP3,PKHD1,0.747,,,,,,,
NPHP1,PKHD1,0.742,,,,,,,
AQP2,KCNJ1,0.74,,,,,,,
BBS9,NPHP1,0.73,,,,,,,
CYP11B1,KCNJ5,0.728,,,,,,,
HESX1,SOX2,0.727,,,,,,,
HPSE2,LRIG2,0.718,,,,,,,
HNF1B,PAX4,0.709,,,,,,,
HESX1,PROKR2,0.708,,,,,,,
NEK8,NPHP1,0.706,,,,,,,
CASR,CLCNKB,0.702,,,,,,,
